simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_1,07:00:00,0,tee_off,,1,,golfer_group,,,,1,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,07:00,0,service_closed,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 240 minutes until opening
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_2,07:10:00,600,tee_off,,1,,golfer_group,,,,2,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_3,07:20:00,1200,tee_off,,1,,golfer_group,,,,3,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_4,07:30:00,1800,tee_off,,1,,golfer_group,,,,4,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_5,07:40:00,2400,tee_off,,1,,golfer_group,,,,5,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_6,07:50:00,3000,tee_off,,1,,golfer_group,,,,6,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_7,08:00:00,3600,tee_off,,1,,golfer_group,,,,7,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_8,08:10:00,4200,tee_off,,1,,golfer_group,,,,8,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_9,08:20:00,4800,tee_off,,1,,golfer_group,,,,9,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_10,08:30:00,5400,tee_off,,1,,golfer_group,,,,10,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_11,08:40:00,6000,tee_off,,1,,golfer_group,,,,11,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_12,08:50:00,6600,tee_off,,1,,golfer_group,,,,12,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_13,09:00:00,7200,tee_off,,1,,golfer_group,,,,13,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_14,09:10:00,7800,tee_off,,1,,golfer_group,,,,14,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_15,09:20:00,8400,tee_off,,1,,golfer_group,,,,15,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_16,09:30:00,9000,tee_off,,1,,golfer_group,,,,16,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_17,09:40:00,9600,tee_off,,1,,golfer_group,,,,17,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_18,09:50:00,10200,tee_off,,1,,golfer_group,,,,18,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_19,10:00:00,10800,tee_off,,1,,golfer_group,,,,19,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_20,10:10:00,11400,tee_off,,1,,golfer_group,,,,20,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_21,10:20:00,12000,tee_off,,1,,golfer_group,,,,21,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_22,10:30:00,12600,tee_off,,1,,golfer_group,,,,22,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_23,10:40:00,13200,tee_off,,1,,golfer_group,,,,23,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_24,10:50:00,13800,tee_off,,1,,golfer_group,,,,24,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_25,11:00:00,14400,tee_off,,1,,golfer_group,,,,25,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:00,14400,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_26,11:12:00,15120,tee_off,,1,,golfer_group,,,,26,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,order_005,11:14:00,15240,order_placed,,18,,order,005,,,6,,,processed,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:14,15240,order_received,,,,delivery_runner,005,,,,,,,New order from Group 6 on Hole 18
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:14,15240,order_assigned,,,,delivery_runner,005,runner_1,,,,,,Assigned Order 005 to runner_1
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:14,15240,prep_start,,,,delivery_runner,005,runner_1,,,,,,runner_1 started prep for Order 005 (Hole 18)
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_27,11:24:00,15840,tee_off,,1,,golfer_group,,,,27,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:24,15840,prep_complete,,,,delivery_runner,005,runner_1,,,,,,runner_1 completed prep for Order 005
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:24,15840,delivery_start,,,,delivery_runner,005,runner_1,,,,,,"runner_1 departing to Hole 18 (201m, 0.6 min)"
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:24,15873,delivery_complete,,,,delivery_runner,005,runner_1,,,,,,runner_1 delivered Order 005 to Hole 18 (Total completion: 10.6 min)
busy_weekend_delivery_1r_20orders_no_bev_run_01,order_006,11:34:00,16440,order_placed,,18,,order,006,,,8,,,processed,
busy_weekend_delivery_1r_20orders_no_bev_run_01,order_007,11:34:00,16440,order_placed,,8,,order,007,,,20,,,processed,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16440,order_received,,,,delivery_runner,006,,,,,,,New order from Group 8 on Hole 18
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16440,order_received,,,,delivery_runner,007,,,,,,,New order from Group 20 on Hole 8
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16440,order_assigned,,,,delivery_runner,006,runner_1,,,,,,Assigned Order 006 to runner_1
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16440,returning,,,,delivery_runner,006,runner_1,,,,,,runner_1 returning to clubhouse from hole_18 (0.6 min)
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16473,arrived_clubhouse,,,,delivery_runner,006,runner_1,,,,,,runner_1 arrived at clubhouse to prepare Order 006
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:34,16473,prep_start,,,,delivery_runner,006,runner_1,,,,,,runner_1 started prep for Order 006 (Hole 18)
busy_weekend_delivery_1r_20orders_no_bev_run_01,golf_group_28,11:36:00,16560,tee_off,,1,,golfer_group,,,,28,,,,
busy_weekend_delivery_1r_20orders_no_bev_run_01,order_008,11:40:00,16800,order_placed,,16,,order,008,,,11,,,processed,
busy_weekend_delivery_1r_20orders_no_bev_run_01,order_009,11:40:00,16800,order_placed,,11,,order,009,,,17,,,processed,
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:40,16800,order_received,,,,delivery_runner,008,,,,,,,New order from Group 11 on Hole 16
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:40,16800,order_received,,,,delivery_runner,009,,,,,,,New order from Group 17 on Hole 11
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:44,17073,prep_complete,,,,delivery_runner,006,runner_1,,,,,,runner_1 completed prep for Order 006
busy_weekend_delivery_1r_20orders_no_bev_run_01,runner_1,11:44,17073,delivery_start,,,,delivery_runner,006,runner_1,,,,,,"runner_1 departing to Hole 18 (201m, 0.6 min)"
