simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
stage2_run_02,runner_1,07:00,0,service_idle,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 180 minutes until opening
stage2_run_02,runner_2,07:00,0,service_idle,,,,delivery_runner,,runner_2,,,,,,runner_2 waiting 180 minutes until opening
stage2_run_02,golf_group_1,07:45:00,2700,tee_off,,1,,golfer_group,,,,1,,,,
stage2_run_02,golf_group_2,07:53:00,3180,tee_off,,1,,golfer_group,,,,2,,,,
stage2_run_02,golf_group_3,08:01:00,3660,tee_off,,1,,golfer_group,,,,3,,,,
stage2_run_02,golf_group_4,08:09:00,4140,tee_off,,1,,golfer_group,,,,4,,,,
stage2_run_02,golf_group_5,08:17:00,4620,tee_off,,1,,golfer_group,,,,5,,,,
stage2_run_02,golf_group_6,08:25:00,5100,tee_off,,1,,golfer_group,,,,6,,,,
stage2_run_02,golf_group_7,08:33:00,5580,tee_off,,1,,golfer_group,,,,7,,,,
stage2_run_02,golf_group_8,08:41:00,6060,tee_off,,1,,golfer_group,,,,8,,,,
stage2_run_02,golf_group_9,08:49:00,6540,tee_off,,1,,golfer_group,,,,9,,,,
stage2_run_02,golf_group_10,08:57:00,7020,tee_off,,1,,golfer_group,,,,10,,,,
stage2_run_02,golf_group_11,09:05:00,7500,tee_off,,1,,golfer_group,,,,11,,,,
stage2_run_02,golf_group_12,09:13:00,7980,tee_off,,1,,golfer_group,,,,12,,,,
stage2_run_02,golf_group_13,09:21:00,8460,tee_off,,1,,golfer_group,,,,13,,,,
stage2_run_02,golf_group_14,09:30:00,9000,tee_off,,1,,golfer_group,,,,14,,,,
stage2_run_02,golf_group_15,09:39:00,9540,tee_off,,1,,golfer_group,,,,15,,,,
stage2_run_02,golf_group_16,09:48:00,10080,tee_off,,1,,golfer_group,,,,16,,,,
stage2_run_02,runner_1,10:00,10800,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
stage2_run_02,runner_2,10:00,10800,service_opened,,,,delivery_runner,,runner_2,,,,,,runner_2 started shift
stage2_run_02,golf_group_17,10:06:00,11160,tee_off,,1,,golfer_group,,,,17,,,,
stage2_run_02,golf_group_18,10:15:00,11700,tee_off,,1,,golfer_group,,,,18,,,,
stage2_run_02,golf_group_19,10:24:00,12240,tee_off,,1,,golfer_group,,,,19,,,,
stage2_run_02,order_001,10:24:59,12299,order_placed,,7,,order,001,,,9,,,processed,
stage2_run_02,runner_1,10:25,12300,order_assigned,,,,delivery_runner,001,runner_1,,,,,,Assigned Order 001 to runner_1
stage2_run_02,runner_1,10:25,12300,prep_start,,,,delivery_runner,001,runner_1,,,,,,runner_1 started prep for Order 001 (Hole 7)
stage2_run_02,golf_group_20,10:33:00,12780,tee_off,,1,,golfer_group,,,,20,,,,
stage2_run_02,runner_1,10:35,12900,prep_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 completed prep for Order 001
stage2_run_02,runner_1,10:35,12900,delivery_start,,,,delivery_runner,001,runner_1,,,,,,"runner_1 departing to Hole 9 (1027m, 1.4 min)"
stage2_run_02,runner_1,10:36,12985,delivery_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 delivered Order 001 to Hole 9 (Total completion: 11.4 min)
stage2_run_02,runner_1,10:36,12985,returning,,,,delivery_runner,001,runner_1,,,,,,runner_1 returning to clubhouse from hole_9 (3.2 min)
stage2_run_02,runner_1,10:39,13177,arrived_clubhouse,,,,delivery_runner,001,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 001
stage2_run_02,order_002,10:41:05,13265,order_placed,,2,,order,002,,,19,,,processed,
stage2_run_02,runner_1,10:41,13265,order_assigned,,,,delivery_runner,002,runner_1,,,,,,Assigned Order 002 to runner_1
stage2_run_02,runner_1,10:41,13265,prep_start,,,,delivery_runner,002,runner_1,,,,,,runner_1 started prep for Order 002 (Hole 2)
stage2_run_02,golf_group_21,10:42:00,13320,tee_off,,1,,golfer_group,,,,21,,,,
stage2_run_02,golf_group_22,10:51:00,13860,tee_off,,1,,golfer_group,,,,22,,,,
stage2_run_02,runner_1,10:51,13865,prep_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 completed prep for Order 002
stage2_run_02,runner_1,10:51,13865,delivery_start,,,,delivery_runner,002,runner_1,,,,,,"runner_1 departing to Hole 2 (1958m, 2.7 min)"
stage2_run_02,order_003,10:53:48,14028,order_placed,,7,,order,003,,,13,,,processed,
stage2_run_02,runner_1,10:53,14028,delivery_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 delivered Order 002 to Hole 2 (Total completion: 12.7 min)
stage2_run_02,runner_1,10:53,14028,returning,,,,delivery_runner,002,runner_1,,,,,,runner_1 returning to clubhouse from hole_2 (6.1 min)
stage2_run_02,runner_2,10:53,14030,order_assigned,,,,delivery_runner,003,runner_2,,,,,,Assigned Order 003 to runner_2
stage2_run_02,runner_2,10:53,14030,prep_start,,,,delivery_runner,003,runner_2,,,,,,runner_2 started prep for Order 003 (Hole 7)
stage2_run_02,runner_1,10:59,14393,arrived_clubhouse,,,,delivery_runner,002,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 002
stage2_run_02,golf_group_23,11:00:00,14400,tee_off,,1,,golfer_group,,,,23,,,,
stage2_run_02,order_004,11:02:19,14539,order_placed,,6,,order,004,,,16,,,processed,
stage2_run_02,runner_1,11:02,14540,order_assigned,,,,delivery_runner,004,runner_1,,,,,,Assigned Order 004 to runner_1
stage2_run_02,runner_1,11:02,14540,prep_start,,,,delivery_runner,004,runner_1,,,,,,runner_1 started prep for Order 004 (Hole 6)
stage2_run_02,runner_2,11:03,14630,prep_complete,,,,delivery_runner,003,runner_2,,,,,,runner_2 completed prep for Order 003
stage2_run_02,runner_2,11:03,14630,delivery_start,,,,delivery_runner,003,runner_2,,,,,,"runner_2 departing to Hole 8 (1184m, 1.6 min)"
stage2_run_02,runner_2,11:05,14728,delivery_complete,,,,delivery_runner,003,runner_2,,,,,,runner_2 delivered Order 003 to Hole 8 (Total completion: 11.7 min)
stage2_run_02,runner_2,11:05,14728,returning,,,,delivery_runner,003,runner_2,,,,,,runner_2 returning to clubhouse from hole_8 (3.7 min)
stage2_run_02,golf_group_24,11:09:00,14940,tee_off,,1,,golfer_group,,,,24,,,,
stage2_run_02,runner_2,11:09,14949,arrived_clubhouse,,,,delivery_runner,003,runner_2,,,,,,runner_2 arrived at clubhouse after delivering Order 003
stage2_run_02,runner_1,11:12,15140,prep_complete,,,,delivery_runner,004,runner_1,,,,,,runner_1 completed prep for Order 004
stage2_run_02,runner_1,11:12,15140,delivery_start,,,,delivery_runner,004,runner_1,,,,,,"runner_1 departing to Hole 7 (2281m, 3.2 min)"
stage2_run_02,order_005,11:13:55,15235,order_placed,,15,,order,005,,,3,,,processed,
stage2_run_02,runner_2,11:13,15235,order_assigned,,,,delivery_runner,005,runner_2,,,,,,Assigned Order 005 to runner_2
stage2_run_02,runner_2,11:13,15235,prep_start,,,,delivery_runner,005,runner_2,,,,,,runner_2 started prep for Order 005 (Hole 15)
