simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
runners_2_run_01,runner_1,07:00,0,service_idle,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 180 minutes until opening
runners_2_run_01,runner_2,07:00,0,service_idle,,,,delivery_runner,,runner_2,,,,,,runner_2 waiting 180 minutes until opening
runners_2_run_01,golf_group_1,07:45:00,2700,tee_off,,1,,golfer_group,,,,1,,,,
runners_2_run_01,golf_group_2,07:53:00,3180,tee_off,,1,,golfer_group,,,,2,,,,
runners_2_run_01,golf_group_3,08:01:00,3660,tee_off,,1,,golfer_group,,,,3,,,,
runners_2_run_01,golf_group_4,08:09:00,4140,tee_off,,1,,golfer_group,,,,4,,,,
runners_2_run_01,golf_group_5,08:17:00,4620,tee_off,,1,,golfer_group,,,,5,,,,
runners_2_run_01,golf_group_6,08:25:00,5100,tee_off,,1,,golfer_group,,,,6,,,,
runners_2_run_01,golf_group_7,08:33:00,5580,tee_off,,1,,golfer_group,,,,7,,,,
runners_2_run_01,golf_group_8,08:41:00,6060,tee_off,,1,,golfer_group,,,,8,,,,
runners_2_run_01,golf_group_9,08:49:00,6540,tee_off,,1,,golfer_group,,,,9,,,,
runners_2_run_01,golf_group_10,08:57:00,7020,tee_off,,1,,golfer_group,,,,10,,,,
runners_2_run_01,golf_group_11,09:05:00,7500,tee_off,,1,,golfer_group,,,,11,,,,
runners_2_run_01,golf_group_12,09:13:00,7980,tee_off,,1,,golfer_group,,,,12,,,,
runners_2_run_01,golf_group_13,09:21:00,8460,tee_off,,1,,golfer_group,,,,13,,,,
runners_2_run_01,golf_group_14,09:30:00,9000,tee_off,,1,,golfer_group,,,,14,,,,
runners_2_run_01,golf_group_15,09:39:00,9540,tee_off,,1,,golfer_group,,,,15,,,,
runners_2_run_01,golf_group_16,09:48:00,10080,tee_off,,1,,golfer_group,,,,16,,,,
runners_2_run_01,runner_1,10:00,10800,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
runners_2_run_01,runner_2,10:00,10800,service_opened,,,,delivery_runner,,runner_2,,,,,,runner_2 started shift
runners_2_run_01,order_001,10:00:52,10852,order_placed,,8,,order,001,,,5,,,processed,
runners_2_run_01,runner_1,10:00,10855,order_assigned,,,,delivery_runner,001,runner_1,,,,,,Assigned Order 001 to runner_1
runners_2_run_01,runner_1,10:00,10855,prep_start,,,,delivery_runner,001,runner_1,,,,,,runner_1 started prep for Order 001 (Hole 8)
runners_2_run_01,golf_group_17,10:06:00,11160,tee_off,,1,,golfer_group,,,,17,,,,
runners_2_run_01,runner_1,10:10,11455,prep_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 completed prep for Order 001
runners_2_run_01,runner_1,10:10,11455,delivery_start,,,,delivery_runner,001,runner_1,,,,,,"runner_1 departing to Hole 9 (554m, 0.8 min)"
runners_2_run_01,runner_1,10:11,11501,delivery_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 delivered Order 001 to Hole 9 (Total completion: 10.8 min)
runners_2_run_01,runner_1,10:11,11501,returning,,,,delivery_runner,001,runner_1,,,,,,runner_1 returning to clubhouse from hole_9 (1.7 min)
runners_2_run_01,runner_1,10:13,11604,arrived_clubhouse,,,,delivery_runner,001,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 001
runners_2_run_01,golf_group_18,10:15:00,11700,tee_off,,1,,golfer_group,,,,18,,,,
runners_2_run_01,golf_group_19,10:24:00,12240,tee_off,,1,,golfer_group,,,,19,,,,
runners_2_run_01,order_002,10:27:27,12447,order_placed,,12,,order,002,,,1,,,processed,
runners_2_run_01,runner_1,10:27,12450,order_assigned,,,,delivery_runner,002,runner_1,,,,,,Assigned Order 002 to runner_1
runners_2_run_01,runner_1,10:27,12450,prep_start,,,,delivery_runner,002,runner_1,,,,,,runner_1 started prep for Order 002 (Hole 12)
runners_2_run_01,golf_group_20,10:33:00,12780,tee_off,,1,,golfer_group,,,,20,,,,
runners_2_run_01,runner_1,10:37,13050,prep_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 completed prep for Order 002
runners_2_run_01,runner_1,10:37,13050,delivery_start,,,,delivery_runner,002,runner_1,,,,,,"runner_1 departing to Hole 13 (2257m, 3.1 min)"
runners_2_run_01,runner_1,10:40,13238,delivery_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 delivered Order 002 to Hole 13 (Total completion: 13.2 min)
runners_2_run_01,runner_1,10:40,13238,returning,,,,delivery_runner,002,runner_1,,,,,,runner_1 returning to clubhouse from hole_13 (7.0 min)
runners_2_run_01,golf_group_21,10:42:00,13320,tee_off,,1,,golfer_group,,,,21,,,,
runners_2_run_01,runner_1,10:47,13659,arrived_clubhouse,,,,delivery_runner,002,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 002
runners_2_run_01,golf_group_22,10:51:00,13860,tee_off,,1,,golfer_group,,,,22,,,,
runners_2_run_01,order_003,10:52:00,13920,order_placed,,7,,order,003,,,13,,,processed,
runners_2_run_01,runner_1,10:52,13920,order_assigned,,,,delivery_runner,003,runner_1,,,,,,Assigned Order 003 to runner_1
runners_2_run_01,runner_1,10:52,13920,prep_start,,,,delivery_runner,003,runner_1,,,,,,runner_1 started prep for Order 003 (Hole 7)
runners_2_run_01,order_004,10:56:04,14164,order_placed,,14,,order,004,,,2,,,processed,
runners_2_run_01,runner_2,10:56,14165,order_assigned,,,,delivery_runner,004,runner_2,,,,,,Assigned Order 004 to runner_2
runners_2_run_01,runner_2,10:56,14165,prep_start,,,,delivery_runner,004,runner_2,,,,,,runner_2 started prep for Order 004 (Hole 14)
runners_2_run_01,golf_group_23,11:00:00,14400,tee_off,,1,,golfer_group,,,,23,,,,
runners_2_run_01,runner_1,11:02,14520,prep_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 completed prep for Order 003
runners_2_run_01,runner_1,11:02,14520,delivery_start,,,,delivery_runner,003,runner_1,,,,,,"runner_1 departing to Hole 8 (1267m, 1.8 min)"
runners_2_run_01,runner_1,11:03,14625,delivery_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 delivered Order 003 to Hole 8 (Total completion: 11.8 min)
runners_2_run_01,runner_1,11:03,14625,returning,,,,delivery_runner,003,runner_1,,,,,,runner_1 returning to clubhouse from hole_8 (3.9 min)
runners_2_run_01,runner_2,11:06,14765,prep_complete,,,,delivery_runner,004,runner_2,,,,,,runner_2 completed prep for Order 004
runners_2_run_01,runner_2,11:06,14765,delivery_start,,,,delivery_runner,004,runner_2,,,,,,"runner_2 departing to Hole 15 (1000m, 1.4 min)"
runners_2_run_01,runner_2,11:07,14848,delivery_complete,,,,delivery_runner,004,runner_2,,,,,,runner_2 delivered Order 004 to Hole 15 (Total completion: 11.4 min)
runners_2_run_01,runner_2,11:07,14848,returning,,,,delivery_runner,004,runner_2,,,,,,runner_2 returning to clubhouse from hole_15 (3.1 min)
runners_2_run_01,runner_1,11:07,14862,arrived_clubhouse,,,,delivery_runner,003,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 003
runners_2_run_01,golf_group_24,11:09:00,14940,tee_off,,1,,golfer_group,,,,24,,,,
